"","x","y","first_order_residual","isotherm","paleozoic_structure","raw_montney_top","third_order_residual"
"12432",540792.810995538,6312655.60747765,-48.7549349739029,83.6618916351345,-1234.65073827477,1999.6215956241,46.1582373806084
"12433",541292.810995538,6312655.60747765,-43.2102940239988,84.8360391275691,-1237.87389400943,2018.80347086368,51.4050498544967
"12434",541792.810995538,6312655.60747765,-36.3967833795446,86.2656540492278,-1242.36629074524,2041.9916237993,57.9206638173871
"12435",542292.810995538,6312655.60747765,-29.1655681931268,87.8116226401557,-1247.27678643217,2064.66790371723,64.8539107874222
"12436",542792.810995538,6312655.60747765,-22.6009673095428,89.312469250837,-1251.52102501953,2081.06001558376,71.1204794463615
"12437",543292.810995538,6312655.60747765,-17.7048293331791,90.6141420818583,-1254.0971860569,2085.77201202816,75.7185169565512
"12438",543792.810995538,6312655.60747765,-15.1377511388864,91.6071178040392,-1254.34466815925,2077.10452253816,77.987428125564
"12439",544292.810995538,6312655.60747765,-14.952205111688,92.046560741818,-1252.21097552332,2057.17481108473,77.8747454009365
"12440",544792.810995538,6312655.60747765,-17.2068491463729,91.7334183685978,-1247.63749225108,2028.39797631762,75.3218045189092
"12441",545292.810995538,6312655.60747765,-21.4389042574086,90.3604310643386,-1241.08696516921,1995.48307740029,70.7913907950193
"12442",545792.810995538,6312655.60747765,-28.9763973348514,87.6796050071233,-1231.23136191999,1959.0603776476,62.9554789806594
"12443",546292.810995538,6312655.60747765,-50.2847780092817,84.0063724876234,-1207.60527629548,1905.96811784992,41.3486131601439
"12444",546792.810995538,6312655.60747765,-73.1452888597979,79.8757278758469,-1182.427418308,1855.50487901318,18.1895593303398
"12445",547292.810995538,6312655.60747765,-88.1802821782744,76.2262243807893,-1165.07545371835,1823.72811582332,2.85596304227521
"12446",547792.810995538,6312655.60747765,-94.9104036015627,73.6189825535484,-1156.02875266598,1814.54017683193,-4.17282295415063
"12447",548292.810995538,6312655.60747765,-96.4709926185542,72.2888831579968,-1152.1519420579,1818.5812259586,-6.03213209593515
"12448",548792.810995538,6312655.60747765,-95.196072767287,71.8955006407191,-1151.11103026826,1829.68015131893,-5.05599204402805
"12449",549292.810995538,6312655.60747765,-93.2073413816148,72.270492664939,-1150.78430805734,1844.50492069371,-3.36609743776703
"12450",549792.810995538,6312655.60747765,-91.0721616464723,73.4019090169501,-1150.60439245851,1853.39078540342,-1.52980775221265
"12451",550292.810995538,6312655.60747765,-88.8997773543184,75.0160898290157,-1150.46208546894,1850.66110461078,0.343627313468175
"12452",550792.810995538,6312655.60747765,-86.879248007368,76.8471971800824,-1150.16828796247,1844.60977319882,2.0651548952848
"12453",551292.810995538,6312655.60747765,-85.1922774519424,78.4975057233808,-1149.54129800276,1838.90171489829,3.45307159889885
"12454",551792.810995538,6312655.60747765,-84.0426616825494,79.6443839740299,-1148.37735572646,1833.98993949623,4.3035772150179
"12455",552292.810995538,6312655.60747765,-83.5266089161811,79.9692892737327,-1146.58020909254,1828.90393894006,4.52047045082945
"12456",552792.810995538,6312655.60747765,-83.8758544811651,79.4883310023695,-1143.91814456597,1823.9318866067,3.87201375401298
"12457",553292.810995538,6312655.60747765,-85.1959698785653,78.5972236365124,-1140.28559906117,1821.69825743964,2.25263537669512
"12458",553792.810995538,6312655.60747765,-86.9409955861434,77.9162352352715,-1136.22850211561,1824.59981867691,0.208299593176962
"12459",554292.810995538,6312655.60747765,-87.7060663424841,77.7584997939583,-1133.15175467799,1831.97312892515,-0.85613217305331
"12460",554792.810995538,6312655.60747765,-86.5923744051489,77.9299085502418,-1131.95414515489,1840.72718581731,-0.041848822429125
"12461",555292.810995538,6312655.60747765,-85.4651043901096,77.9038535515771,-1130.77047280263,1855.52419528804,0.785967791046629
"12462",555792.810995538,6312655.60747765,-87.148684622188,77.4238937574536,-1126.77635889557,1873.19323726195,-1.19711592731002
"12463",556292.810995538,6312655.60747765,-95.093638598633,76.5917519821307,-1116.52123281349,1885.23228473519,-9.44161687769808
"12464",556792.810995538,6312655.60747765,-105.4401084068,75.757317250496,-1103.86496179093,1889.16504262413,-20.0876775354928
"12465",557292.810995538,6312655.60747765,-111.56211105272,75.1278012753498,-1095.4335576269,1887.40135463032,-26.509317400815
"12466",557792.810995538,6312655.60747765,-112.814894316697,74.7657368189844,-1091.87173231918,1883.61273505624,-28.0617788067096
"12467",558292.810995538,6312655.60747765,-109.886572011347,74.5330876005619,-1092.49139760599,1878.90049934928,-25.4331776820428
"12468",558792.810995538,6312655.60747765,-104.037804976168,74.2828880788459,-1096.03189366817,1873.77684214747,-19.8841740962075
"12469",559292.810995538,6312655.60747765,-96.4105792821027,73.9117201996876,-1101.3512080867,1868.51753804153,-12.5567504930997
"12470",559792.810995538,6312655.60747765,-87.8641417057859,73.4055786547762,-1107.59013356419,1863.35687256543,-4.31015702770851
"12471",560292.810995538,6312655.60747765,-79.3529645092712,72.7424894145759,-1113.79417103859,1858.38163922805,3.90113770822985
"12472",560792.810995538,6312655.60747765,-71.3882917001991,71.8917172672793,-1119.45206543355,1853.55211471024,11.5658915588866
"12473",561292.810995538,6312655.60747765,-64.4649475142399,70.8930914982135,-1124.06904177571,1848.82370131228,18.1892762411652
"12474",561792.810995538,6312655.60747765,-58.6938732283002,69.8117657928014,-1127.53410829543,1844.17219057063,23.6603562736608
"12475",562292.810995538,6312655.60747765,-54.1949809664197,68.8048565262793,-1129.72736824895,1839.61053230655,27.8592187907258
"12476",562792.810995538,6312655.60747765,-50.9119534149471,68.0714934399816,-1130.70516039431,1835.14600245899,30.8421799830458
"12477",563292.810995538,6312655.60747765,-48.5393556968907,67.9471532928133,-1130.77288300625,1830.76535576565,32.9146788727969
"12478",563792.810995538,6312655.60747765,-46.9956351771205,68.6458175365917,-1130.01211804511,1826.47384133328,34.1582662611905
"12479",564292.810995538,6312655.60747765,-46.1512569578576,70.1223378356652,-1128.55239399961,1822.26204920662,34.7024784835843
"12480",564792.810995538,6312655.60747765,-45.8501190441528,72.0117955991364,-1126.54979017073,1818.09823794701,34.7034202117503
"12481",565292.810995538,6312655.60747765,-46.024105668718,73.602552978126,-1124.07246561361,1813.92783772233,34.2292044686999
"12482",565792.810995538,6312655.60747765,-46.5482996135164,74.1498287336035,-1121.2453032483,1809.65767690908,33.4047521066738
"12483",566292.810995538,6312655.60747765,-47.3083051884842,72.770357069283,-1118.18269510765,1805.16387422589,32.3444598226662
"12484",566792.810995538,6312655.60747765,-47.9129021067543,69.9884380509831,-1115.27590341451,1800.23064169964,31.4395455813458
"12485",567292.810995538,6312655.60747765,-48.316811971028,67.4687170501074,-1112.5701596761,1794.79148966852,30.7352920964479
"12486",567792.810995538,6312655.60747765,-48.8811364132033,66.7695194190984,-1109.70438139776,1788.84466091509,29.8705970995993
"12487",568292.810995538,6312655.60747765,-49.6303405703109,67.5291747605735,-1106.65411749197,1782.44912089979,28.8209953524475
"12488",568792.810995538,6312655.60747765,-50.5585602967311,68.7293414381457,-1103.42519913908,1775.47885630854,27.5923540185512
"12489",569292.810995538,6312655.60747765,-51.6288812648451,69.6726103410794,-1100.05457378308,1767.71569859366,26.2215860484544
"12490",569792.810995538,6312655.60747765,-52.6490616465671,70.3369900771854,-1096.73446937964,1759.23542567092,24.9009350259467
"12491",570292.810995538,6312655.60747765,-53.4585746561612,70.8579189518066,-1093.62539369179,1750.23583614839,23.7909296381342
"12492",570792.810995538,6312655.60747765,-53.881251414333,71.3194912696062,-1090.90356271192,1740.90497043288,23.0677368285415
"12493",571292.810995538,6312655.60747765,-53.9058392730769,71.6967420085999,-1088.5801872584,1731.46523272929,22.7426124940759
"12494",571792.810995538,6312655.60747765,-53.5640541426251,71.9457036701361,-1086.62355520924,1722.01938651882,22.7838412358756
"12495",572292.810995538,6312655.60747765,-52.9587145521078,72.078529883415,-1084.93088261067,1712.65486455505,23.0886035782923
"12496",572792.810995538,6312655.60747765,-52.3025036611925,72.1271517596808,-1083.28944303296,1703.3970067366,23.4442193738956
"12497",573292.810995538,6312655.60747765,-51.7814631729145,72.1636981165398,-1081.51321768412,1694.27933484072,23.6646465628419
"12498",573792.810995538,6312655.60747765,-51.4839435321964,72.2518833283876,-1079.51386273972,1685.63536267569,23.6615352711399
"12499",574292.810995538,6312655.60747765,-51.1475565497755,72.4637367370458,-1077.55373707809,1678.72932451751,23.6972757535339
"12500",574792.810995538,6312655.60747765,-50.4436081855182,72.8128110716314,-1075.96157166348,1675.0816978917,24.1005613043713
"12501",525292.810995538,6312155.60747765,189.405054956342,92.3631567357297,-1548.04629852859,2361.43824775975,292.496110275005
"12502",525792.810995538,6312155.60747765,182.049037607093,91.896867040574,-1538.35747996381,2349.92241279755,284.847053323016
"12503",526292.810995538,6312155.60747765,173.034125222383,91.3153055017114,-1527.01012098154,2335.42143512286,275.539011960658
"12504",526792.810995538,6312155.60747765,162.37385648173,90.6298355308303,-1514.01777724011,2317.94937005746,264.585521351421
"12505",527292.810995538,6312155.60747765,150.142485939941,89.8587895443772,-1499.45472076035,2297.65653513286,252.060832598744
"12506",527792.810995538,6312155.60747765,136.728208587994,89.0089623369802,-1483.7091123165,2275.20821339982,238.353149942155
"12507",528292.810995538,6312155.60747765,122.298453081961,88.1043432465154,-1466.94841127919,2250.90565697872,223.629895330207
"12508",528792.810995538,6312155.60747765,107.046518763009,87.1626131978623,-1449.36590702145,2225.2474088359,208.084371411824
"12509",529292.810995538,6312155.60747765,91.1613441678828,86.2014860439562,-1431.15051756148,2198.70458641622,191.905522404661
"12510",529792.810995538,6312155.60747765,74.8850529762002,85.243328948928,-1412.54441104731,2171.77611135984,175.335462271335
"12511",530292.810995538,6312155.60747765,58.5755866031892,84.3060529528924,-1393.90549145559,2145.02708866411,158.732142129936
"12512",530792.810995538,6312155.60747765,42.4596082827393,83.409400964409,-1375.46042208353,2118.77600297625,142.322225931506
"12513",531292.810995538,6312155.60747765,26.9669173556549,82.5626900593897,-1357.63903991575,2093.39673779764,126.535505206741
"12514",531792.810995538,6312155.60747765,12.5587065065278,81.7809007606895,-1340.90249328811,2069.05988664484,111.833183639818
"12515",532292.810995538,6312155.60747765,-0.216012774725619,81.0713888144444,-1325.79981437556,2045.9880394046,98.764268790682
"12516",532792.810995538,6312155.60747765,-10.9241146498301,80.4385344150913,-1312.76413919211,2024.30820448637,87.7618851068772
"12517",533292.810995538,6312155.60747765,-19.4587545690007,79.9123746479928,-1301.902281654,2004.25039865427,78.9328847400002
"12518",533792.810995538,6312155.60747765,-25.4582152219149,79.5246571122349,-1293.57599352735,1987.10935317881,72.6389782307851
"12519",534292.810995538,6312155.60747765,-29.4608551095549,79.3340653985281,-1287.24689898257,1975.20219339852,68.3418117428763
"12520",534792.810995538,6312155.60747765,-32.5579103437537,79.444529854835,-1281.82374500762,1971.40004696988,64.9501535504945
"12521",535292.810995538,6312155.60747765,-36.0521658894456,79.8434691808442,-1276.00379488221,1980.42744181276,61.1612092614883
"12522",535792.810995538,6312155.60747765,-40.1885028492619,80.462808751789,-1269.54212263456,2000.00005115231,56.7301081292161
"12523",536292.810995538,6312155.60747765,-44.399729497146,81.0940092339845,-1263.00592739628,2023.39801033576,52.2240410628037
"12524",536792.810995538,6312155.60747765,-47.8234546466214,81.5573153526324,-1257.25763074249,2028.05344349638,48.5053938535328
"12525",537292.810995538,6312155.60747765,-50.304224089879,81.7690098724245,-1252.45264609806,2016.89092411153,45.7296298849144
"12526",537792.810995538,6312155.60747765,-51.9241470702925,81.8200666531006,-1248.50888862809,2003.60929660707,43.8146357443442
"12527",538292.810995538,6312155.60747765,-52.8598284388747,81.8292129546632,-1245.24975633209,1992.73322473441,42.5838069012351
"12528",538792.810995538,6312155.60747765,-53.1602923357327,81.9023414018997,-1242.6261980373,1985.25140125223,41.9881253452918
"12529",539292.810995538,6312155.60747765,-52.5552297426593,82.0965930124825,-1240.90856097605,1982.21112032106,42.2978934377089
"12530",539792.810995538,6312155.60747765,-50.8526669334648,82.4561477278625,-1240.2887941508,1983.86253535113,43.7050905767407
"12531",540292.810995538,6312155.60747765,-47.9560172290467,83.0443805400226,-1240.86347143217,1990.364263458,46.3063066216912
"12532",540792.810995538,6312155.60747765,-43.6276046874662,83.8726393670358,-1242.87031943242,2002.54363630043,50.3392088088255
"12533",541292.810995538,6312155.60747765,-38.0973633016498,84.9670894955446,-1246.07935319206,2019.22927720893,55.5738735478033
"12534",541792.810995538,6312155.60747765,-31.597473163596,86.2854891843609,-1250.2584069457,2039.04913310582,61.7781188307326
"12535",542292.810995538,6312155.60747765,-24.849670898375,87.7209225355837,-1254.68576716673,2058.26726524256,68.2302047027583
"12536",542792.810995538,6312155.60747765,-18.7562298259968,89.1482404701596,-1258.45912333575,2072.29176542319,74.0278653704355
"12537",543292.810995538,6312155.60747765,-14.1777484359262,90.4293631548402,-1260.71790511232,2076.63133291397,78.3104981104682
"12538",543792.810995538,6312155.60747765,-11.6531608102993,91.4523357850606,-1260.9231739049,2069.64455034596,80.5391705228521
"12539",544292.810995538,6312155.60747765,-11.1947254763472,91.9709147725422,-1259.06264777209,2052.95408797196,80.7016289128871
"12540",544792.810995538,6312155.60747765,-12.8601002281537,91.7754785572563,-1255.07871090921,2028.42824127856,78.7402091166989
"12541",545292.810995538,6312155.60747765,-16.581208955208,90.5537214746077,-1249.03940727351,1999.44351579768,74.7229935748824
"12542",545792.810995538,6312155.60747765,-24.3177934004466,88.0302108887295,-1238.98498965535,1965.15051640184,66.6902421857383
"12543",546292.810995538,6312155.60747765,-43.5629409545689,84.4997425829103,-1217.42241407905,1916.09387966713,47.1488612725052
"12544",546792.810995538,6312155.60747765,-65.2773579731137,80.5198915077506,-1193.39092678875,1866.47238271924,25.1381530560095
"12545",547292.810995538,6312155.60747765,-80.9925695435314,77.0551277352155,-1175.3590207465,1831.17288400246,9.12659029113042
"12546",547792.810995538,6312155.60747765,-88.8322663449298,74.6095031737168,-1165.20302104673,1818.8662515535,0.990480684902701
"12547",548292.810995538,6312155.60747765,-91.1541559394305,73.3056014663085,-1160.56518652909,1817.9599514202,-1.62787727260468
"12548",548792.810995538,6312155.60747765,-90.1781239365471,72.7909670692614,-1159.22566349062,1820.18925366396,-0.948373314715279
"12549",549292.810995538,6312155.60747765,-88.5286810278234,72.9622307845684,-1158.559929336,1828.50471790236,0.404484561440166
"12550",549792.810995538,6312155.60747765,-86.7284003350345,73.886412051562,-1158.0453911652,1836.43930774285,1.90812694407553
"12551",550292.810995538,6312155.60747765,-84.7290308431837,75.3251889188451,-1157.73034577479,1837.85727544236,3.61079894019245
"12552",550792.810995538,6312155.60747765,-82.7618696483135,77.0211990613577,-1157.38345645174,1836.37496480919,5.2812100925024
"12553",551292.810995538,6312155.60747765,-81.072332187808,78.5845602416699,-1156.75930966827,1834.75515276885,6.6739454152896
"12554",551792.810995538,6312155.60747765,-79.9197589596574,79.701523876257,-1155.59860105119,1833.64378405826,7.52966019459245
"12555",552292.810995538,6312155.60747765,-79.3886579006154,80.0753159913612,-1153.8167788474,1832.53391676906,7.7638534185863
"12556",552792.810995538,6312155.60747765,-79.6535683561691,79.7061623686116,-1151.23932550084,1831.73269590554,7.20198351695539
"12557",553292.810995538,6312155.60747765,-80.7509772373295,78.9260543381096,-1147.82976251452,1832.96846583384,5.80756333132197
"12558",553792.810995538,6312155.60747765,-82.25081353193,78.2779420571405,-1144.01813092105,1837.57710585851,4.01066862642245
"12559",554292.810995538,6312155.60747765,-83.2456543499426,78.1009749593489,-1140.71188929149,1845.12600154606,2.71871845306551
"12560",554792.810995538,6312155.60747765,-83.2781780613983,78.2642481692848,-1138.36833992329,1854.008799409,2.38903779855989
"12561",555292.810995538,6312155.60747765,-83.4764159798379,78.2366126659815,-1135.85943537808,1865.61865202892,1.89359811153211
"12562",555792.810995538,6312155.60747765,-86.2125235778158,77.6764617376984,-1130.81306977368,1876.81971126447,-1.13976135225929
"12563",556292.810995538,6312155.60747765,-96.056861324323,76.6376475882112,-1118.65883552644,1882.50647026125,-11.2813944636293
"12564",556792.810995538,6312155.60747765,-108.262894483282,75.5524446440457,-1104.14327669267,1882.20079336471,-23.7847668750901
"12565",557292.810995538,6312155.60747765,-114.723288243638,74.7685546497168,-1095.37375688335,1879.81987668337,-30.5425462709514
"12566",557792.810995538,6312155.60747765,-115.437965743414,74.4320209975162,-1092.35031274563,1877.22999084553,-31.5546503409438
"12567",558292.810995538,6312155.60747765,-111.706838549757,74.3231194014886,-1093.77305825869,1874.09776889698,-28.120992769632
"12568",558792.810995538,6312155.60747765,-105.033387180204,74.1976820100909,-1098.13851392512,1870.3296040865,-21.7450533048216
"12569",559292.810995538,6312155.60747765,-96.5899560421399,73.9082269467441,-1104.27430899408,1866.18400513586,-13.5991727261914
"12570",559792.810995538,6312155.60747765,-87.2807425547146,73.4646308519701,-1111.27628551867,1861.943506873,-4.5875518330118
"12571",560292.810995538,6312155.60747765,-78.1246219172768,72.8691923431627,-1118.1255415043,1857.75480240042,4.27093784635802
"12572",560792.810995538,6312155.60747765,-69.6645576011507,72.1129998463913,-1124.27910241283,1853.59968892718,12.4333346925589
